,artist_name,artist_id
208,Dina Rae,248
209,IU,249
212,Tiï¿½ï¿½sto,250
212,Tate M,251
213,NF,252
215,Kanii,253
215,PR1ISVX,254
216,Harry Styles,255
217,Marï¿½ï¿½lia Mendo,256
218,Zach Bryan,257
219,Melanie Martinez,258
221,Mae Stephens,259
223,Kenia OS,260
224,Kordhell,261
225,Ovy On The Drums,262
226,The Walters,263
227,Mac DeMarco,264
228,Jack Black,265
229,Duki,266
229,NICKI NICOLE,267
229,Cris Mj,268
229,Standly,269
229,Stars Music Chile,270
230,Brray,271
230,Lyanno,272
231,Linkin Park,273
232,j-hope,274
233,Robin Schulz,275
233,Oliver Tree,276
235,Niall Horan,277
237,Mahalini,278
239,ThxSoMch,279
241,Eric Church,280
243,Kaifi Khalil,281
245,Lady Gaga,282
246,Leo Santana,283
247,Treyce,284
248,Doja Cat,285
249,MC Xenon,286
249,Os Gemeos da Putaria,287
250,League of Legends,288
250,Arcane,289
251,XXXTENTACION,290
253,J Balvin,291
254,Yuridia,292
254,Angela Aguilar,293
256,Lizzo,294
257,Fujii Kaze,295
258,Wisin & Yandel,296
259,King,297
261,P!nk,298
265,Lil Nas X,299
266,Beach Weather,300
268,Baby Tate,301
269,Vishal Dadlani,302
269,Sukriti Kakar,303
269,Vishal-Shekhar,304
269,Shekhar Ravjiani,305
269,Kumaar,306
271,Steve Aoki,307
271,La Joaqui,308
274,Conan Gray,309
275,Shilpa Rao,310
275,Caralisa Monteiro,311
276,TOMORROW X TOGETHER,312
277,Tems,313
278,Mr.Kitty,314
279,Elley Duhï¿,315
280,Seafret,316
281,DJ Escobar,317
281,MC MENOR SG,318
281,MC MENOR HR,319
282,Dean Lewis,320
283,Bellakath,321
284,Skrillex,322
284,Flowdan,323
284,Fred again..,324
286,Kate Bush,325
287,Aerosmith,326
288,Freddie Dredd,327
289,Lost Frequencies,328
289,Calum Scott,329
290,Twisted,330
291,Kenshi Yonezu,331
292,Omar Apollo,332
293,DaBaby,333
294,James Hype,334
294,Miggy Dela Rosa,335
295,Styrx,336
295,utku INC,337
295,Thezth,338
296,Michael Bublï¿,339
297,Andy Williams,340
298,Dean Martin,341
299,Kelly Clarkson,342
300,Josï¿½ï¿½ Felic,343
302,The Ronettes,344
303,John Lennon,345
303,The Harlem Community Choir,346
303,The Plastic Ono Band,347
303,Yoko Ono,348
305,Nat King Cole,349
306,Paul McCartney,350
307,Phoebe Bridgers,351
308,Shakin' Stevens,352
309,Frank Sinatra,353
309,B. Swanson Quartet,354
311,Bing Crosby,355
311,John Scott Trotter & His Orchestra,356
311,Ken Darby Singers,357
312,Chris Rea,358
313,Darlene Love,359
314,Perry Como,360
314,The Fontane Sisters,361
314,Mitchell Ayres & His Orchestra,362
315,Mabel Matiz,363
315,Mert Demir,364
319,Dj LK da Escï¿½ï¿½cia,365
319,Tchakabum,366
319,mc jhenny,367
319,M,368
320,Jhay Cortez,369
321,Gwen Stefani,370
321,Blake Shelton,371
324,Chuck Berry,372
326,John Legend,373
327,Maldy,374
328,Lauren Spencer Smith,375
329,Cherish,376
329,ACRAZE,377
330,Jaymes Young,378
334,Jessica Darrow,379
336,Mï¿½ï¿½ne,380
337,Aitana,381
337,zzoilo,382
338,Julieta Venegas,383
339,Ava,384
340,Xamï¿½ï¿½,385
340,Gustah,386
340,Neo B,387
341,Lit Killah,388
341,Tiago pzk,389
342,Emmy Meli,390
343,Justin Quiles,391
343,Lenny Tavï¿½ï¿½rez,392
343,BL,393
344,Shawn Mendes,394
345,The Neighbourhood,395
347,Aventura,396
349,Anderson .Paak,397
349,Silk Sonic,398
350,THE ANXIETY,399
350,Willow,400
350,Tyler Cole,401
353,Stromae,402
354,Rvssian,403
355,Amaarae,404
355,Moliy,405
358,Jnr Choi,406
359,Trueno,407
360,Sech,408
361,Project Pat,409
362,Kar,410
363,Edison Lighthouse,411
364,Olga Merediz,412
364,Stephanie Beatriz,413
364,Encanto - Cast,414
365,Surf Curse,415
366,Jason Derulo,416
368,Diane Guerrero,417
369,Kanye West,418
371,Lewis Capaldi,419
373,Maluma,420
374,Fireboy DML,421
375,Prezioso,422
375,Gabry Ponte,423
375,LUM!X,424
376,Tiï¿½ï¿,425
377,Marï¿½ï¿½lia Mendonï¿½ï¿½a,426
377,George Henrique &,427
378,TWICE,428
380,Charli XCX,429
380,Jax Jones,430
380,Joel Corry,431
380,Saweetie,432
381,SALES,433
382,Sleepy hallow,434
383,Masked Wolf,435
385,NIKI,436
386,Tate McRae,437
387,Avicii,438
390,Juice WRLD,439
393,Nirvana,440
395,L-Gante,441
396,SiM,442
397,Baby Keem,443
398,The Killers,444
399,Nio Garcia,445
400,Bradley Cooper,446
401,Jonas Brothers,447
402,Riton,448
402,Nightcrawlers,449
402,Mufasa & Hypeman,450
402,Dopamine,451
403,Polo G,452
404,Nate Dogg,453
405,Maroon 5,454
406,De La Ghetto,455
406,Dalex,456
406,Dimelo Flow,457
406,Rich Music,458
407,Lil Baby,459
408,Maiara &,460
412,Dr. Dre,461
412,Snoop Dogg,462
413,Dove Cameron,463
415,Alicia Keys,464
415,Fivio Foreign,465
416,Mahmood,466
416,Blanco,467
417,50 Cent,468
418,Yung Lean,469
419,Zendaya,470
420,The Rare Occasions,471
421,Intense,472
421,AP Dhillon,473
421,Gurinder Gill,474
422,La Pantera,475
422,Juseph,476
422,Cruz Cafunï¿½ï¿½,477
422,Bï¿½ï¿½jo,478
422,Abhir Hathi,479
423,2Pac,480
423,Roger,481
425,Luude,482
425,Colin Hay,483
426,Ryan Castro,484
428,Dido,485
429,GODZZ__-,486
429,Zakaria,487
430,Chase Atlantic,488
432,Mainstreet,489
432,Chefin,490
433,Alvaro Diaz,491
436,Zï¿½ï¿½ Fe,492
438,Vundabar,493
439,V,494
440,Camila Cabello,495
441,Daddy Yankee,496
442,Megan Thee Stallion,497
445,Anitta,498
447,Tulus,499
448,Pedro Sampaio,500
449,Zion & Lennox,501
450,Residente,502
451,Jack Harlow,503
453,Christian Nodal,504
454,Tyga,505
455,YEAT,506
456,C. Tangana,507
457,The Chainsmokers,508
459,NMIXX,509
460,AnnenMayKantereit,510
460,Giant Rooks,511
461,Danny Ocean,512
462,Lil Tjay,513
464,Alejo,514
464,Robi,515
465,Paulo Londra,516
